kabupaten_kota,provinsi,latitude,longitude,sewa_aktual,sewa_prediksi,residual,coef_rumah_layak_huni,coef_ketahanan_bangunan,coef_luas_lantai_7_2,coef_akses_air_minum,coef_akses_sanitasi,coef_cuci_tangan,coef_status_milik_sendiri,coef_status_kontrak_sewa,coef_listrik_pln,coef_latitude,coef_longitude
Kota Medan,Sumatera Utara,3.627728310371873,98.66799797922798,9789.0,10599.280963720772,-810.280963720772,-8667.489275497333,6969.02905630346,798.6555045709683,4350.4851201842175,3541.1012111430596,193.46031422660144,1625.983576646565,8160.550685779669,-781.6709025129828,-305.83317436332754,216.0441907125769
Kota Binjai,Sumatera Utara,3.599491912561549,98.48871144455136,9789.0,10569.18277660582,-780.1827766058195,-8667.489275497333,6969.02905630346,798.6555045709683,4350.4851201842175,3541.1012111430596,193.46031422660144,1625.983576646565,8160.550685779669,-781.6709025129828,-305.83317436332754,216.0441907125769
Kota Padangsidimpuan,Sumatera Utara,1.396311747184501,99.28079508956353,9789.0,11414.113430340727,-1625.113430340727,-8667.489275497333,6969.02905630346,798.6555045709683,4350.4851201842175,3541.1012111430596,193.46031422660144,1625.983576646565,8160.550685779669,-781.6709025129828,-305.83317436332754,216.0441907125769
Kota Gunungsitoli,Sumatera Utara,1.2650962093762914,97.5830887565814,9789.0,11087.463904017659,-1298.463904017659,-8667.489275497333,6969.02905630346,798.6555045709683,4350.4851201842175,3541.1012111430596,193.46031422660144,1625.983576646565,8160.550685779669,-781.6709025129828,-305.83317436332754,216.0441907125769
Danau Toba,Sumatera Utara,2.6047547134003946,98.8114534941772,9789.0,10943.132956802896,-1154.132956802896,-8667.489275497333,6969.02905630346,798.6555045709683,4350.4851201842175,3541.1012111430596,193.46031422660144,1625.983576646565,8160.550685779669,-781.6709025129828,-305.83317436332754,216.0441907125769
Kepulauan Mentawai,Sumatera Barat,-1.851426861633218,99.33852345739726,8221.0,9194.955697769117,-973.9556977691173,-8667.489275497333,6969.02905630346,798.6555045709683,4350.4851201842175,3541.1012111430596,193.46031422660144,1625.983576646565,8160.550685779669,-781.6709025129828,-305.83317436332754,216.0441907125769
Pesisir Selatan,Sumatera Barat,-1.738282748828916,100.88070250083824,8221.0,9493.531297963757,-1272.5312979637565,-8667.489275497333,6969.02905630346,798.6555045709683,4350.4851201842175,3541.1012111430596,193.46031422660144,1625.983576646565,8160.550685779669,-781.6709025129828,-305.83317436332754,216.0441907125769
Solok,Sumatera Barat,-0.9624256395106212,100.81872149615062,8221.0,9242.8578193713,-1021.8578193713001,-8667.489275497333,6969.02905630346,798.6555045709683,4350.4851201842175,3541.1012111430596,193.46031422660144,1625.983576646565,8160.550685779669,-781.6709025129828,-305.83317436332754,216.0441907125769
Sijunjung,Sumatera Barat,-0.6840858094949186,101.08951101573189,8221.0,9216.23476821723,-995.2347682172294,-8667.489275497333,6969.02905630346,798.6555045709683,4350.4851201842175,3541.1012111430596,193.46031422660144,1625.983576646565,8160.550685779669,-781.6709025129828,-305.83317436332754,216.0441907125769
Tanah Datar,Sumatera Barat,-0.4605383095545835,100.58604729873066,8221.0,9039.096115396816,-818.0961153968165,-8667.489275497333,6969.02905630346,798.6555045709683,4350.4851201842175,3541.1012111430596,193.46031422660144,1625.983576646565,8160.550685779669,-781.6709025129828,-305.83317436332754,216.0441907125769
Padang Pariaman,Sumatera Barat,-0.5623419077902755,100.22770237006068,8221.0,8992.812692896383,-771.8126928963829,-8667.489275497333,6969.02905630346,798.6555045709683,4350.4851201842175,3541.1012111430596,193.46031422660144,1625.983576646565,8160.550685779669,-781.6709025129828,-305.83317436332754,216.0441907125769
Agam,Sumatera Barat,-0.2494297465965396,100.16851369839492,8221.0,8884.326404672229,-663.3264046722288,-8667.489275497333,6969.02905630346,798.6555045709683,4350.4851201842175,3541.1012111430596,193.46031422660144,1625.983576646565,8160.550685779669,-781.6709025129828,-305.83317436332754,216.0441907125769
