id,OBJECTID,Shape_Leng,Shape_Area,A1C_BPS,A1N_BPS,A2C_BPS,A2N_BPS,A1C_SIAK,A1N_SIAK,A2C_SIAK,A2N_SIAK,YEAR,Type,Hectares,A2TEXT,SquareKM,latitude,longitude
,85,0.404981349908,0.00315679010631,14,Riau,1408,Bengkalis,14,Riau,1403,Bengkalis,2017,Kabupaten,851397.76665,1408,8571.32175,1.4060964580583748,101.66334536328303
,86,0.606514960172,0.0126845721293,14,Riau,1409,Rokan Hilir,14,Riau,1407,Rokan Hilir,2017,Kabupaten,918704.0008,1409,9248.89528,1.773661858430487,100.74504622695885
,87,0.383326545106,0.00545165091456,14,Riau,1410,Kepulauan Meranti,14,Riau,1410,Kepulauan Meranti,2017,Kabupaten,364223.06324,1410,3666.76974,1.0028048016130533,102.65034645204183
,88,0.162318465112,0.00078726521724,14,Riau,1471,Kota Pekanbaru,14,Riau,1471,Kota Pekanbaru,2017,Kota,62567.75079,1471,629.89387,0.5498894668021579,101.46443621730756
,89,0.276506242726,0.00300294003903,14,Riau,1473,Kota Dumai,14,Riau,1472,Kota Dumai,2017,Kota,227237.48691,1473,2287.67425,1.7976652614653554,101.31165373683957
,90,0.0281177211497,2.82346450251e-05,15,Jambi,1501,Kerinci,15,Jambi,1501,Kerinci,2017,Kabupaten,340623.10491,1501,3429.15808,-2.0369070554585442,101.46942445083167
,91,0.422772841569,0.0102547613318,15,Jambi,1502,Merangin,15,Jambi,1502,Merangin,2017,Kabupaten,742916.07797,1502,7479.15508,-2.196201011862801,102.06441916216404
,92,0.405799547744,0.00442214550757,15,Jambi,1503,Sarolangun,15,Jambi,1503,Sarolangun,2017,Kabupaten,588010.30437,1503,5919.66711,-2.3091125320544656,102.66456674464236
,93,0.113426572148,0.000425198682,15,Jambi,1504,Batang Hari,15,Jambi,1504,Batanghari,2017,Kabupaten,546902.78897,1504,5505.85151,-1.7497334364769526,103.09606325740947
,94,0.151397500163,0.00062002519445,15,Jambi,1505,Muaro Jambi,15,Jambi,1505,Muaro Jambi,2017,Kabupaten,542246.82826,1505,5458.98374,-1.6091814947854877,103.74517882177295
,95,0.333407512391,0.00371475667792,15,Jambi,1506,Tanjung Jabung Timur,15,Jambi,1507,Tanjung Jabung Timur,2017,Kabupaten,495364.86636,1506,4987.0184,-1.219820823289337,103.9673530852528
,96,0.162129604225,0.000984171249355,15,Jambi,1507,Tanjung Jabung Barat,15,Jambi,1506,Tanjung Jabung Barat,2017,Kabupaten,493113.70244,1507,4964.35851,-1.071069936790348,103.11331056286176
,97,0.230302185257,0.00149215073282,15,Jambi,1508,Tebo,15,Jambi,1509,Tebo,2017,Kabupaten,627222.41355,1508,6314.473,-1.3102003391424772,102.361275390216
,98,1.23223215684,0.034775665152,15,Jambi,1509,Bungo,15,Jambi,1508,Bungo,2017,Kabupaten,469653.87051,1509,4728.16611,-1.5988860025702396,101.93100144530493
,99,0.0701522174056,0.000229064240195,15,Jambi,1571,Kota Jambi,15,Jambi,1571,Kota Jambi,2017,Kota,17162.44123,1571,172.78015,-1.6170023547450236,103.60022420576566
,100,0.0606390813143,0.000145855863875,15,Jambi,1572,Kota Sungai Penuh,15,Jambi,1572,Sungai Penuh,2017,Kota,35322.31269,1572,355.60043,-2.11335094177672,101.34111250427007
,101,0.243578688677,0.00248905462371,16,Sumatera Selatan,1601,Ogan Komering Ulu,16,Sumatera Selatan,1601,Ogan Komering Ulu,2017,Kabupaten,388657.11201,1601,3912.63048,-4.100670219203191,104.09382962801968
,102,0.224830802526,0.00244979621816,16,Sumatera Selatan,1602,Ogan Komering Ilir,16,Sumatera Selatan,1602,Ogan Komering Ilir,2017,Kabupaten,1800592.32315,1602,18126.85503,-3.343172988543884,105.39068105366404
,103,0.18527306333,0.00201246959337,16,Sumatera Selatan,1603,Muara Enim,16,Sumatera Selatan,1603,Muara Enim,2017,Kabupaten,677877.87474,1603,6824.2791,-3.635834759553093,104.0015652181584
,104,0.478383612704,0.0106095671003,16,Sumatera Selatan,1604,Lahat,16,Sumatera Selatan,1604,Lahat,2017,Kabupaten,425194.26816,1604,4280.47043,-3.8305582473786823,103.38532484050413
,105,0.749801146687,0.0116458401534,16,Sumatera Selatan,1605,Musi Rawas,16,Sumatera Selatan,1605,Musi Rawas,2017,Kabupaten,633949.99857,1605,6382.09423,-3.1667314171494367,103.14522095195292
,106,0.50933266128,0.00642458460837,16,Sumatera Selatan,1606,Musi Banyuasin,16,Sumatera Selatan,1606,Musi Banyuasin,2017,Kabupaten,1478311.45112,1606,14882.56043,-2.4440840875705456,103.82967196424592
,107,0.20111651929,0.00120925897852,16,Sumatera Selatan,1607,Banyu Asin,16,Sumatera Selatan,1607,Banyuasin,2017,Kabupaten,1112491.94999,1607,11199.75151,-2.4878697688973253,104.66809303404577
,108,0.245998338191,0.00162268941996,16,Sumatera Selatan,1608,Ogan Komering Ulu Selatan,16,Sumatera Selatan,1609,Ogan Komering Ulu Selatan,2017,Kabupaten,425935.90646,1608,4287.88093,-4.590247323360914,103.91524090247172
,109,0.185637060002,0.00143471783976,16,Sumatera Selatan,1609,Ogan Komering Ulu Timur,16,Sumatera Selatan,1608,Ogan Komering Ulu Timur,2017,Kabupaten,341289.57323,1609,3435.78085,-4.068872522995667,104.56792257283749
,110,0.19664635419,0.00180508644299,16,Sumatera Selatan,1610,Ogan Ilir,16,Sumatera Selatan,1610,Ogan Ilir,2017,Kabupaten,239269.38031,1610,2408.76212,-3.4099778009393678,104.60090288488533
,111,0.322301811954,0.00355413876727,16,Sumatera Selatan,1611,Empat Lawang,16,Sumatera Selatan,1611,Empat Lawang,2017,Kabupaten,240063.81999,1611,2416.74791,-3.751943624991812,102.95359688876341
,112,0.310172602753,0.00409511179801,16,Sumatera Selatan,1612,Penukal Abab Lematang Ilir,16,Sumatera Selatan,1612,Penukal Abab Lematang Ilir,2017,Kabupaten,192949.60421,1612,1942.45907,-3.209884359104186,103.98827933397021
,113,0.710320622969,0.0166039309,16,Sumatera Selatan,1613,Musi Rawas Utara,16,Sumatera Selatan,1613,Musi Rawas Utara,2017,Kabupaten,584720.4447,1613,5886.52099,-2.7443987140701607,102.73583964537181
,114,0.0428164769523,6.78302600599e-05,16,Sumatera Selatan,1671,Kota Palembang,16,Sumatera Selatan,1671,Kota Palembang,2017,Kota,36878.42806,1671,371.26301,-2.9733535838672696,104.73281674653593
,115,0.170250267134,0.00088730138227,16,Sumatera Selatan,1672,Kota Prabumulih,16,Sumatera Selatan,1674,Kota Prabumulih,2017,Kota,40811.63597,1672,410.85688,-3.4528347437959006,104.22938772442417
,116,0.512941928609,0.00550404768749,16,Sumatera Selatan,1673,Kota Pagar Alam,16,Sumatera Selatan,1672,Kota Pagar Alam,2017,Kota,59379.53944,1673,597.77672,-4.109111577157726,103.26267366395187
,117,0.213277981272,0.00118420190352,16,Sumatera Selatan,1674,Kota Lubuklinggau,16,Sumatera Selatan,1673,Kota Lubuk Linggau,2017,Kota,36813.49364,1674,370.60794,-3.2635241614077395,102.87935836626258
,118,0.447378731619,0.00768336592198,16,Sumatera Selatan,1688,Danau,16,Sumatera Selatan,1688,Danau,2017,,9492.09536,1688,95.55608,-4.8601595019024755,103.93537450456381
,119,0.0674975002284,0.000273564345455,17,Bengkulu,1701,Bengkulu Selatan,17,Bengkulu,1701,Bengkulu Selatan,2017,Kabupaten,123410.93161,1701,1242.37875,-4.348663189211438,103.02372955029395
,120,0.272108712908,0.00113917386435,17,Bengkulu,1702,Rejang Lebong,17,Bengkulu,1702,Rejang Lebong,2017,Kabupaten,151233.55984,1702,1522.49147,-3.430790127447459,102.69889390291108
,121,0.344843663189,0.00566714444119,17,Bengkulu,1703,Bengkulu Utara,17,Bengkulu,1703,Bengkulu Utara,2017,Kabupaten,445133.90002,1703,4481.22777,-3.426921227729385,102.0157827526161
,123,0.0608287060501,0.000146182140095,17,Bengkulu,1705,Seluma,17,Bengkulu,1705,Seluma,2017,Kabupaten,246572.07902,1705,2482.25544,-4.052313057716453,102.65781985555775
,124,0.217227752584,0.00131895831095,17,Bengkulu,1706,Mukomuko,17,Bengkulu,1706,Muko Muko,2017,Kabupaten,426871.80064,1706,4297.42276,-2.701394437209309,101.48559604460618
,125,0.146476323749,0.00111726503012,17,Bengkulu,1707,Lebong,17,Bengkulu,1707,Lebong,2017,Kabupaten,167103.32176,1707,1682.26233,-3.0899267093457428,102.24947681391514
,126,0.0703490539855,0.000261841627555,17,Bengkulu,1708,Kepahiang,17,Bengkulu,1708,Kepahiang,2017,Kabupaten,70843.45025,1708,713.18987,-3.628231823189902,102.64168875470615
,127,0.097836201158,0.000228778636735,17,Bengkulu,1709,Bengkulu Tengah,17,Bengkulu,1709,Bengkulu Tengah,2017,Kabupaten,104926.46316,1709,1056.30688,-3.687547673332724,102.41166971406503
,128,0.18568257432,0.00150187737498,17,Bengkulu,1771,Kota Bengkulu,17,Bengkulu,1771,Bengkulu,2017,Kota,18747.22875,1771,188.73012,-3.827698622712308,102.31269055949606
,129,0.30525292663,0.00376415492724,18,Lampung,1801,Lampung Barat,18,Lampung,1804,Lampung Barat,2017,Kabupaten,243946.0326,1801,2455.77451,-5.031742815336386,104.19028934224859
,130,0.0797723234023,0.00033872770018,18,Lampung,1802,Tanggamus,18,Lampung,1806,Tanggamus,2017,Kabupaten,280017.81774,1802,2818.88042,-5.435863533876858,104.67521016413505
,131,0.0861239886202,0.00031446834874,18,Lampung,1803,Lampung Selatan,18,Lampung,1801,Lampung Selatan,2017,Kabupaten,218713.28873,1803,2201.73586,-5.532772784321386,105.50050153572772
,132,0.0731140669968,0.000255565011765,18,Lampung,1804,Lampung Timur,18,Lampung,1807,Lampung Timur,2017,Kabupaten,394581.12997,1804,3972.19055,-5.136651544367107,105.64903679922708
