Kabupaten-Kota,Jan,Feb,Mar,Apr,Mei,Jun,Jul,Ags,Sep,Okt,Nov,Des,Rata-Rata
Kota Ternate,926168.0,926168.0,926168.0,926168.0,926168.0,926168.0,926168.0,926168.0,926168.0,940523.0,940523.0,940523.0,929756.0
Manokwari,881700.0,881700.0,881700.0,881700.0,881700.0,881700.0,881700.0,881700.0,881700.0,881700.0,881700.0,881700.0,881700.0
Kab. Sorong,848800.0,851516.0,851516.0,851516.0,851516.0,863523.0,863523.0,863523.0,863523.0,863523.0,863523.0,863523.0,858294.0
Kab. Sorong Selatan,870828.0,870828.0,870828.0,870828.0,870828.0,870828.0,870828.0,870828.0,870828.0,870828.0,870828.0,870828.0,870828.0
Kota Sorong,1042157.0,1042157.0,1042157.0,1042157.0,1049139.0,1049139.0,1049139.0,1053860.0,1053860.0,1056706.0,1056706.0,1056706.0,1049490.0
Kota Jayapura,1004382.0,1004382.0,1004382.0,1004382.0,1004382.0,1004382.0,1004382.0,1004382.0,1004382.0,1004382.0,1004382.0,1004382.0,1004382.0
Merauke,933592.0,935272.0,935272.0,935272.0,935833.0,935833.0,935833.0,935833.0,935833.0,935833.0,935833.0,935833.0,935506.0
Timika,891603.0,891603.0,891603.0,891603.0,891603.0,891603.0,891603.0,891603.0,891603.0,891603.0,891603.0,891603.0,891603.0
Kab. Nabire,988363.0,988363.0,988363.0,988363.0,988363.0,988363.0,988363.0,1021671.0,1021671.0,1021671.0,1021671.0,1021671.0,1002242.0
Kab. Jayawijaya,1500304.0,1500304.0,1500304.0,1500304.0,1500304.0,1500304.0,1500304.0,1500304.0,1500304.0,1500304.0,1500304.0,1500304.0,1500304.0
