kabupaten_kota,provinsi,latitude,longitude,sewa_2024,rumah_layak_huni,ketahanan_bangunan,luas_lantai_7_2,akses_air_minum,akses_sanitasi,cuci_tangan,status_milik_sendiri,status_kontrak_sewa,listrik_pln,latitude,longitude
Rokan Hulu,Riau,0.9400854045461754,100.47480623817368,10548.0,74.8,96.31,94.63,92.24,86.32,75.19,78.46,7.98,96.6,0.9400854045461754,100.47480623817368
Bengkalis,Riau,1.4060964580583748,101.66334536328304,10548.0,74.8,96.31,94.63,92.24,86.32,75.19,78.46,7.98,96.6,1.4060964580583748,101.66334536328304
Rokan Hilir,Riau,1.773661858430487,100.74504622695883,10548.0,74.8,96.31,94.63,92.24,86.32,75.19,78.46,7.98,96.6,1.773661858430487,100.74504622695883
Kepulauan Meranti,Riau,1.0028048016130533,102.65034645204184,10548.0,74.8,96.31,94.63,92.24,86.32,75.19,78.46,7.98,96.6,1.0028048016130533,102.65034645204184
Kota Pekanbaru,Riau,0.5498894668021579,101.46443621730756,10548.0,74.8,96.31,94.63,92.24,86.32,75.19,78.46,7.98,96.6,0.5498894668021579,101.46443621730756
Kota Dumai,Riau,1.7976652614653554,101.31165373683956,10548.0,74.8,96.31,94.63,92.24,86.32,75.19,78.46,7.98,96.6,1.7976652614653554,101.31165373683956
Kerinci,Jambi,-2.036907055458544,101.46942445083168,2806.0,66.21,95.58,96.34,82.16,83.97,73.96,89.27,2.84,98.9,-2.036907055458544,101.46942445083168
Merangin,Jambi,-2.196201011862801,102.06441916216404,2806.0,66.21,95.58,96.34,82.16,83.97,73.96,89.27,2.84,98.9,-2.196201011862801,102.06441916216404
Sarolangun,Jambi,-2.3091125320544656,102.66456674464236,2806.0,66.21,95.58,96.34,82.16,83.97,73.96,89.27,2.84,98.9,-2.3091125320544656,102.66456674464236
Batang Hari,Jambi,-1.7497334364769526,103.09606325740948,2806.0,66.21,95.58,96.34,82.16,83.97,73.96,89.27,2.84,98.9,-1.7497334364769526,103.09606325740948
Muaro Jambi,Jambi,-1.6091814947854877,103.74517882177295,2806.0,66.21,95.58,96.34,82.16,83.97,73.96,89.27,2.84,98.9,-1.6091814947854877,103.74517882177295
Tanjung Jabung Timur,Jambi,-1.219820823289337,103.9673530852528,2806.0,66.21,95.58,96.34,82.16,83.97,73.96,89.27,2.84,98.9,-1.219820823289337,103.9673530852528
Tanjung Jabung Barat,Jambi,-1.071069936790348,103.11331056286176,2806.0,66.21,95.58,96.34,82.16,83.97,73.96,89.27,2.84,98.9,-1.071069936790348,103.11331056286176
Tebo,Jambi,-1.3102003391424772,102.361275390216,2806.0,66.21,95.58,96.34,82.16,83.97,73.96,89.27,2.84,98.9,-1.3102003391424772,102.361275390216
Bungo,Jambi,-1.5988860025702396,101.93100144530491,2806.0,66.21,95.58,96.34,82.16,83.97,73.96,89.27,2.84,98.9,-1.5988860025702396,101.93100144530491
Kota Jambi,Jambi,-1.6170023547450236,103.60022420576566,2806.0,66.21,95.58,96.34,82.16,83.97,73.96,89.27,2.84,98.9,-1.6170023547450236,103.60022420576566
Kota Sungai Penuh,Jambi,-2.11335094177672,101.34111250427009,2806.0,66.21,95.58,96.34,82.16,83.97,73.96,89.27,2.84,98.9,-2.11335094177672,101.34111250427009
Ogan Komering Ulu,Sumatera Selatan,-4.100670219203191,104.09382962801968,3187.0,63.21,90.45,91.31,87.23,82.36,77.02,85.9,3.2,97.02,-4.100670219203191,104.09382962801968
