provinsi,kabupaten_kota,latitude,longitude,prediksi_sewa,rumah_layak_huni,ketahanan_bangunan,luas_lantai_7_2,akses_air_minum,akses_sanitasi,cuci_tangan,status_milik_sendiri,status_kontrak_sewa,listrik_pln
Kepulauan Riau,Lingga,-0.2245554634606522,104.5270897404966,-17065.077888750595,,,,,,,,,
Kepulauan Riau,Kepulauan Anambas,3.0877655679007088,106.06522991654066,-17297.015288168543,,,,,,,,,
Kepulauan Riau,Kota Batam,0.9629040349339316,104.06368257786352,-17168.21055580635,,,,,,,,,
Kepulauan Riau,Kota Tanjung Pinang,0.9202850708474918,104.48531304393364,-17156.53393758051,,,,,,,,,
DKI Jakarta,Kepulauan Seribu,-5.700152782565886,106.57935869589804,21269.050485362754,39.0,45.26,78.47,99.96,94.01,78.82,54.44,21.3,99.97
DKI Jakarta,Kota Jakarta Selatan,-6.272679096723272,106.81001087226264,21318.91750623369,39.0,45.26,78.47,99.96,94.01,78.82,54.44,21.3,99.97
DKI Jakarta,Kota Jakarta Timur,-6.25537335975149,106.9002684266986,21319.324788294976,39.0,45.26,78.47,99.96,94.01,78.82,54.44,21.3,99.97
DKI Jakarta,Kota Jakarta Pusat,-6.181230062200074,106.83507605430538,21312.171351492518,39.0,45.26,78.47,99.96,94.01,78.82,54.44,21.3,99.97
DKI Jakarta,Kota Jakarta Barat,-6.165609007923703,106.74840251328789,21309.227934979102,39.0,45.26,78.47,99.96,94.01,78.82,54.44,21.3,99.97
DKI Jakarta,Kota Jakarta Utara,-6.129207395649956,106.86908008223146,21308.722478158506,39.0,45.26,78.47,99.96,94.01,78.82,54.44,21.3,99.97
Jawa Barat,Bogor,-6.55997941978981,106.7675307897768,-15034.104570197083,56.25,78.81,94.26,94.9,75.1,82.37,83.44,5.91,99.9
Jawa Barat,Sukabumi,-7.07618754942622,106.70730771617455,-14994.423902233208,56.25,78.81,94.26,94.9,75.1,82.37,83.44,5.91,99.9
Jawa Barat,Cianjur,-7.133715972114234,107.1577635250869,-14980.999330163788,56.25,78.81,94.26,94.9,75.1,82.37,83.44,5.91,99.9
Jawa Barat,Bandung,-7.099968673022156,107.61084115489376,-14974.749139580348,56.25,78.81,94.26,94.9,75.1,82.37,83.44,5.91,99.9
Jawa Barat,Garut,-7.359556647876624,107.78886398924902,-14950.69281482985,56.25,78.81,94.26,94.9,75.1,82.37,83.44,5.91,99.9
Jawa Barat,Tasikmalaya,-7.496705698995024,108.14129651563697,-14932.895172607092,56.25,78.81,94.26,94.9,75.1,82.37,83.44,5.91,99.9
Jawa Barat,Kuningan,-7.00423329263941,108.56030045555096,-14963.631762524654,56.25,78.81,94.26,94.9,75.1,82.37,83.44,5.91,99.9
Jawa Barat,Cirebon,-6.74563926084672,108.55156504690378,-14984.275847048644,56.25,78.81,94.26,94.9,75.1,82.37,83.44,5.91,99.9
Jawa Barat,Majalengka,-6.8158653596666285,108.2578116332808,-14984.500766078017,56.25,78.81,94.26,94.9,75.1,82.37,83.44,5.91,99.9
Jawa Barat,Sumedang,-6.825065705775693,107.98085008608668,-14989.226240514867,56.25,78.81,94.26,94.9,75.1,82.37,83.44,5.91,99.9
Jawa Barat,Indramayu,-6.448788182507655,108.16859149083888,-15015.317996496358,56.25,78.81,94.26,94.9,75.1,82.37,83.44,5.91,99.9
Jawa Barat,Subang,-6.483036604163266,107.73224588344132,-15021.199033253988,56.25,78.81,94.26,94.9,75.1,82.37,83.44,5.91,99.9
Jawa Barat,Purwakarta,-6.595016266157368,107.43220953453071,-15018.242176571875,56.25,78.81,94.26,94.9,75.1,82.37,83.44,5.91,99.9
